Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
52.92%    4.04%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
52.92%    3.14%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       artQuickToInterpreterBridge
52.92%    2.46%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
52.92%    0.50%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.__uniq.112435418011751916792819755956732575238)
52.92%    0.18%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art_quick_to_interpreter_bridge
52.92%    0.06%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art_quick_invoke_stub
52.92%    0.03%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       ExecuteSwitchImplAsm
52.92%    0.03%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)
52.92%    0.03%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
52.90%    0.02%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art_quick_invoke_static_stub
52.84%    0.03%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art_quick_generic_jni_trampoline
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       _jobject* art::InvokeMethod<(art::PointerSize)8>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned long)
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::Method_invoke(_JNIEnv*, _jobject*, _jobject*, _jobjectArray*) (.__uniq.165753521025965369065708152063621506277)
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.app.ActivityThread.main
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.os.Looper.loop
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.os.Looper.loopOnce
52.84%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JNI<true>::CallStaticVoidMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JValue art::InvokeWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JValue art::InvokeWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.runtime/lib64/bionic/libc.so                                                              __libc_init
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /system/bin/app_process64                                                                                   main
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/arm64/boot-framework.oat                                                                  com.android.internal.os.ZygoteInit.main
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /system/lib64/libandroid_runtime.so                                                                         _JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)
52.81%    0.00%  com.paifa.ubikitouch  31119  31119  /system/lib64/libandroid_runtime.so                                                                         android::AndroidRuntime::start(char const*, android::Vector<android::String8> const&, bool)
48.25%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.os.Handler.dispatchMessage
